workflow_id,journey,journey_title,title,surface,reachable,modules,catalog_steps,coverage_depth,suites,evidence_specs,journey_rows,journey_rows_automated,webpet_tests,tests_collected,passed,skipped,failed,expected_failure,run_state,baseline_run,note,gap,next_action
A11,A,Setup and configuration (office),Preferences configuration,ui,browser,Windows,4,none,—,,1,0,0,0,0,0,0,0,none,,"Preference gates are observed indirectly (reconcile-job-cards banner, inventory module ON), but the Preferences screen itself is never opened.",Decimal precision and accounting export format — the two preferences E6 and E9 hinge on — are unverified.,"Automate the Preferences screen; it unblocks A9, E6 and E9."
A12,A,Setup and configuration (office),Equipment setup,ui,browser,Equipment,3,screens,webpet,webpet/equipment.spec.ts,1,0,11,11,11,0,0,0,passing,31692620907/webpet,"New/edit equipment forms, read-only code and export identifier, disabled Equipment Type picker.",Cost accounting and hours-of-use tracking are not exercised.,Covered enough for setup; extend only when F3 is automated.
A13,A,Setup and configuration (office),Employee onboarding forms configuration,ui,browser,Onboarding|Human Resources|Document|Signature,4,partial,journey,tests/web/journey-a-setup/a13-onboarding-badges.spec.ts,7,6,0,0,0,0,0,0,not-run,,"Badge list and create form are covered, relocated to journey rows A13-002..A13-007 (tests/web/journey-a-setup/a13-onboarding-badges). The Document module also gets cross-credit from A5-018 (employee documents upload/sort/download/delete) — a journey row carries one workflow, so the credit is recorded here rather than as a row. Forms configuration and per-situation form sets remain unautomated.",The forms themselves and form sets per situation — the substance of A13 — are not covered.,Plan the Onboarding forms configuration screen.
A14,A,Setup and configuration (office),Device interface and behavior configuration,ui,browser,Connectivity|Notification|Time Card Questions,4,none,—,,1,0,0,0,0,0,0,0,none,,,"Alias sets (button labels), device preferences and clock-out questions are unconfigured — C10 and B12/C9 inherit this gap.",Automate alias sets and clock-out questions; both have office-side screens.
B1,B,Field harvest day (mobile field capture),Crew time-in,device,device,core,5,journey,journey,tests/web/journey-b-field/b01-crew-time-in.spec.ts tests/api/relay-roundtrip.spec.ts,2,2,0,2,1,0,1,0,failing,31704894160/journey,Journey suite automates the office half as transport: a real PET Pocket envelope is pushed through the Post Office relay and the imported punches are asserted by id. Capture UI is device-side and deferred.,Red on dev at a known environment gate — WebMail live relay disabled (WEBMAIL_LIVE_SEND_ENABLED + relay-registration row + WEBPET-1830).,"Environment unblock, not a test fix."
B2,B,Field harvest day (mobile field capture),Crew move and job change,device,device,Real Time,3,journey,journey,tests/web/journey-b-field/b02-crew-move.spec.ts,1,1,0,1,0,0,1,0,failing,31704894160/journey,"Same transport pattern as B1: post-move export, movers and the member left behind verified in the office.",Same relay gate as B1.,"Environment unblock, not a test fix."
B3,B,Field harvest day (mobile field capture),Individual time-in and duplicate-range correction,device,device,Real Time,3,partial,webpet,webpet/equiv/scan-time-in-equivalence.spec.ts webpet/time-in.spec.ts,1,0,2,2,1,1,0,0,mostly-skipped,31692620907/webpet,"One legacy-parity scan writing a Time In row, plus the office Time In list's multi-edit dropdown (WEBPET-666).","The parity spec skips unless SCAN_TIME_IN_EQUIV=1 and SCAN_EMPLOYEE_BARCODE are set, so nothing proves B3 in CI. Duplicate-range correction is uncovered.",Set SCAN_TIME_IN_EQUIV=1 + SCAN_EMPLOYEE_BARCODE in the dev run so the parity test executes.
B4,B,Field harvest day (mobile field capture),Sticker-roll assignment at day start,device,device,Traceability - Stickers,3,none,—,,1,0,0,0,0,0,0,0,none,,,"Sticker-roll assignment — device capture, and A9 config is missing too.",Blocked on A9.
B5,B,Field harvest day (mobile field capture),Sticker piece-out,device,device,Piece Payment|Traceability - Stickers,3,none,—,,1,0,0,0,0,0,0,0,none,,,Sticker piece-out — device capture.,Blocked on A9 + device automation.
B6,B,Field harvest day (mobile field capture),Badge piece-out,device,device,Piece Payment,3,none,—,,1,0,0,0,0,0,0,0,none,,,Badge piece-out — device capture.,Blocked on device automation.
B7,B,Field harvest day (mobile field capture),Undefined-employee reconciliation,device,device,Traceability - Stickers|Piece Payment,3,none,—,,1,0,0,0,0,0,0,0,none,,,Undefined-employee reconciliation happens at sync — reachable via the relay path once B1/B2 are green.,Candidate for the relay-transport pattern after the relay gate opens.
B8,B,Field harvest day (mobile field capture),Crew piece-out,device,device,Piece Payment,2,none,—,,1,0,0,0,0,0,0,0,none,,,Crew piece-out — device capture; its office half is D9.,Blocked on device automation.
B9,B,Field harvest day (mobile field capture),Paid break (rest and recovery),device,device,Real Time,3,none,—,,1,0,0,0,0,0,0,0,none,,,Paid rest break — device capture.,Blocked on device automation.
B10,B,Field harvest day (mobile field capture),Meal start and end (field),device,device,Real Time,3,none,—,,1,0,0,0,0,0,0,0,none,,,Field meal start/end — device capture.,Blocked on device automation.
B11,B,Field harvest day (mobile field capture),Crew-out to individual time-outs,device,device,Real Time,3,none,—,,1,0,0,0,0,0,0,0,none,,,"Crew-out expansion to individual time-outs — device capture, office-verifiable via relay.",Candidate for the relay-transport pattern.
B12,B,Field harvest day (mobile field capture),Time-out questions to notification,device,device,Time Card Questions|Notification|Signature,3,none,—,,1,0,0,0,0,0,0,0,none,,,Clock-out questions to notification — needs A14 config plus a device punch.,Blocked on A14.
B13,B,Field harvest day (mobile field capture),Field receipt printing,device,device,Field Printer|Electronic Token,2,none,—,,1,0,0,0,0,0,0,0,none,,,Field receipt printing — needs a field printer; rarely used in practice.,Not planned.
B14,B,Field harvest day (mobile field capture),Real-time field dashboard,ui,browser,Real Time Dashboard|Real Time,2,partial,webpet,webpet/dashboard.spec.ts,1,0,5,5,5,0,0,0,passing,31692620907/webpet,"Dashboard shell only: route bootstrap, widget palette, and persistence across reload.","No report-driven live board, no interval refresh, no crew productivity or cost data — the substance of B14/F1.",Automate a report-backed dashboard once F7 report execution is covered.
B15,B,Field harvest day (mobile field capture),Device sync and offline operation,device,device,Connectivity|Network,5,none,—,,1,0,0,0,0,0,0,0,none,,,Offline capture and end-of-day sync — device behaviour; the sync half is D1.,Blocked on device automation.
C1,C,Pack-house day (fixed-site kiosk capture),Kiosk clock-in,device,device,Bio-Identification,3,none,—,,1,0,0,0,0,0,0,0,none,,,"Kiosk clock-in — biometric kiosk, no browser surface.",Out of scope for a browser suite.
C2,C,Pack-house day (fixed-site kiosk capture),Kiosk clock-out,device,device,Bio-Identification,3,none,—,,1,0,0,0,0,0,0,0,none,,,Kiosk clock-out — biometric kiosk.,Out of scope for a browser suite.
C3,C,Pack-house day (fixed-site kiosk capture),Meal start and end with enforcement,device,device,Bio-Identification,3,none,—,,1,0,0,0,0,0,0,0,none,,,Meal enforcement at the kiosk.,Out of scope for a browser suite.
C4,C,Pack-house day (fixed-site kiosk capture),Multi-kiosk meal handoff,device,device,Connectivity|Bio-Identification,5,none,—,,1,0,0,0,0,0,0,0,none,,,Multi-kiosk meal handoff through the device mailbox.,Out of scope for a browser suite.
C5,C,Pack-house day (fixed-site kiosk capture),Buddy-punch prevention,device,device,Bio-Identification,2,none,—,,1,0,0,0,0,0,0,0,none,,,Buddy-punch prevention — biometric identity at the punch.,Out of scope for a browser suite.
C6,C,Pack-house day (fixed-site kiosk capture),"Sub-crew (""tables"") capture",device,device,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Sub-crew (tables) capture.,Out of scope for a browser suite.
C7,C,Pack-house day (fixed-site kiosk capture),Piece-by-size capture at line,device,device,Piece Payment,3,none,—,,1,0,0,0,0,0,0,0,none,,,Piece-by-size capture at the line; its office half is job setup per size (A3).,Out of scope for a browser suite.
C8,C,Pack-house day (fixed-site kiosk capture),Case-to-employee sticker link,device,device,Traceability - Stickers,3,none,—,,1,0,0,0,0,0,0,0,none,,,Case-to-employee sticker link — the traceability backbone.,Out of scope for a browser suite.
C9,C,Pack-house day (fixed-site kiosk capture),Timeout questions at kiosk,device,device,Time Card Questions|Notification,3,none,—,,1,0,0,0,0,0,0,0,none,,,Timeout questions at the kiosk — needs A14 config.,Out of scope for a browser suite.
C10,C,Pack-house day (fixed-site kiosk capture),Kiosk button-mode handling,device,device,Bio-Identification,3,none,—,,1,0,0,0,0,0,0,0,none,,,2/4/6-button layout handling.,Out of scope for a browser suite.
D1,D,Daily office processing (the engine),Post Office sync,ui,browser,Connectivity|Network,3,none,—,,1,0,0,0,0,0,0,0,none,,The relay push half is proven by tests/api/relay-roundtrip.spec.ts under B1.,"Post Office sync into the office instance, and the per-device reported check, are not automated.",Reachable once the relay gate opens — same infrastructure as B1.
D2,D,Daily office processing (the engine),Exception review,ui,browser,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Exception review on Transfer to Job Card — no spec touches the screen.,Highest-value office gap: D2-D4 are the daily engine.
D3,D,Daily office processing (the engine),Add missing time-in and correct time card,ui,browser,Windows,4,none,—,,1,0,0,0,0,0,0,0,none,,,Add missing time-in and correct the time card.,Plan with D2/D4.
D4,D,Daily office processing (the engine),Transfer to Job Card,ui,browser,Windows,4,none,—,,1,0,0,0,0,0,0,0,none,,,Transfer to Job Card — the heart of the product — is entirely unautomated.,"Plan with D2/D3; needs seeded time cards, which the relay path would provide."
D5,D,Daily office processing (the engine),Reverse and redo,ui,browser,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Reverse and redo a committed transfer.,Blocked on D4.
D6,D,Daily office processing (the engine),Recalculate after setup change,ui,browser,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Recalculate after a setup change.,Blocked on D4.
D7,D,Daily office processing (the engine),Multi-edit,ui,browser,Windows,3,partial,webpet,webpet/time-in.spec.ts,1,0,1,1,1,0,0,0,passing,31692620907/webpet,"Multi-edit propagation is proven on setup screens (Field, Ranch) and on the Time In list's counter-keyed dropdown. The setup-screen half now lives in journey rows A2-009/A2-010 (ranch) and A2-021/A2-022 (field) — a journey row carries one workflow, so D7's credit is recorded here rather than as a row.",Job-card multi-edit — reassigning the job across a batch of cards — and the permission gate on it are not covered.,Extend to job cards once D4 exists.
D8,D,Daily office processing (the engine),Delete to recycle and restore,ui,browser,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,employee.spec.ts documents the WEBPET-1798 purge gap but does not exercise recycle/restore.,Soft-delete to recycle bin and restore is never asserted.,"Automate on a setup record that has a purge endpoint (Job, Crop, Ranch)."
D9,D,Daily office processing (the engine),Group piece-out distribution,calc,calculation,Piece Payment,3,none,—,,1,0,0,0,0,0,0,0,none,,,Group piece-out distribution during transfer.,Calculation — blocked on D4.
D10,D,Daily office processing (the engine),Exercise and auto-break split,calc,calculation,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Exercise and auto-break split during transfer.,Calculation — blocked on D4.
E1,E,Weekly payroll close and export,Weekly regular-rate averaging,calc,calculation,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Weekly regular-rate averaging.,Calculation — needs job cards from D4.
E2,E,Weekly payroll close and export,California daily overtime,calc,calculation,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,California daily overtime.,Calculation — needs A10 rules and D4 job cards.
E3,E,Weekly payroll close and export,Weekly overtime,calc,calculation,Windows,2,none,—,,1,0,0,0,0,0,0,0,none,,,Weekly overtime after 40 hours.,Calculation — needs A10 rules and D4 job cards.
E4,E,Weekly payroll close and export,Break-premium recalculation,calc,calculation,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Break-premium recalculation as the weekly average moves.,Calculation — blocked on E1.
E5,E,Weekly payroll close and export,Weekly minimum-wage guarantee on piece,calc,calculation,Piece Payment|Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Weekly minimum-wage guarantee on piece rate.,Calculation — blocked on A9 piece config.
E6,E,Weekly payroll close and export,Decimal-rounding reconciliation,calc,calculation,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Decimal-rounding reconciliation — depends on the precision preference in A11.,Calculation — blocked on A11.
E7,E,Weekly payroll close and export,Meal-penalty calculation,calc,calculation,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,"Meal-penalty calculation against the California thresholds, honouring waivers.",Calculation — blocked on A10 penalty rules.
E8,E,Weekly payroll close and export,Finalize gross pay,ui,browser,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,"Finalize gross pay — confirm every crew transferred, payroll summary report.",Blocked on D4 and F7.
E9,E,Weekly payroll close and export,Payroll export file,ui,browser,Windows,4,partial,webpet,webpet/export-to-accounting.spec.ts webpet/export-to-accounting-v2.spec.ts webpet/export-to-accounting-v2-exportrun.spec.ts webpet/export-to-accounting-v2-mobile.spec.ts webpet/export-to-accounting-v2-recent-exports.spec.ts webpet/export-to-accounting-v2-retry.spec.ts webpet/export-to-accounting-v2-row-selection.spec.ts,1,0,17,17,7,10,0,0,mostly-skipped,31692620907/webpet,"The dispatch workspace is well covered: filters, ExportRun draft lifecycle, per-row selection, retry with parentRunCounter, recent exports, mobile layout, and the accounting.export permission paths.","No payroll file is generated or its format checked, and no job cards exist to export. Module licensing on dev skips the 403/not-licensed paths.",Assert a generated export file once D4 produces job cards.
E10,E,Weekly payroll close and export,Export-identifier matching,ui,browser,Windows,3,partial,webpet,webpet/reconcile-job-cards.spec.ts,1,0,10,10,2,8,0,0,mostly-skipped,31692620907/webpet,"Reconcile run against the live API with the preference gate, permission gate, inline failure rows, CSV download and 4xx/5xx error paths — this is export-identifier matching.","Most of the file skips on dev (accounting.export permission and the reconcile preference are off), so the matching logic itself is unproven there.",Grant accounting.export to the dev run user and enable the reconcile preference.
E11,E,Weekly payroll close and export,Reverse export,ui,browser,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,"export-to-accounting-v2-retry.spec.ts re-sends failed dispatches, which is retry, not reverse.",Reversing a completed export to un-mark its job cards is not covered.,Plan with E9 once job cards exist.
E12,E,Weekly payroll close and export,H2A offered-hours reporting,calc,calculation,H2A,2,none,—,,1,0,0,0,0,0,0,0,none,,,H2A offered-hours reporting — module off for the Anthony scope.,Parked with the H2A module.
E13,E,Weekly payroll close and export,Department and multi-state overtime split,calc,calculation,Department,3,none,—,,1,0,0,0,0,0,0,0,none,,"department.spec.ts covers the Department record, not the overtime split.",Per-department and multi-state overtime rules are not exercised.,Calculation — blocked on A10.
F1,F,Analysis and monitoring,Real-time productivity dashboard,ui,browser,Real Time Dashboard|Real Time,3,partial,webpet,webpet/dashboard.spec.ts,1,0,5,5,5,0,0,0,passing,31692620907/webpet,"Same shell coverage as B14 — widgets render, persist and survive reload.","No report-backed live data, refresh interval, or output/speed/cost figures.",Blocked on F7 report execution.
F2,F,Analysis and monitoring,Map-based dashboard,ui,browser,Mapping|Real Time Dashboard,3,none,—,,1,0,0,0,0,0,0,0,none,,,Map-based dashboard — needs the Mapping module and A8 boundaries.,Blocked on A8.
F3,F,Analysis and monitoring,Cost-versus-price analysis,ui,browser,Cost Accounting|Real Time,3,none,—,,1,0,0,0,0,0,0,0,none,,,Cost-versus-price analysis — needs the Cost Accounting module.,Not planned.
F4,F,Analysis and monitoring,Daily notification,ui,browser,Notification,3,none,—,,1,0,0,0,0,0,0,0,none,,"notifications.spec.ts covers in-app toasts, which are unrelated to scheduled report email.",Scheduling a report to email a recipient daily is not covered.,Plan with F7 — same report engine.
F5,F,Analysis and monitoring,Dashboard link sharing,ui,browser,Real Time Dashboard,3,none,—,,1,0,0,0,0,0,0,0,none,,,Sharing a live dashboard link.,Small; plan with F1.
F6,F,Analysis and monitoring,Season-over-season comparison,ui,browser,Windows,3,none,—,,1,0,0,0,0,0,0,0,none,,,Season-over-season comparison.,Needs multi-season data on dev.
F7,F,Analysis and monitoring,Report generation and export,ui,browser,Windows,4,partial,webpet,webpet/report-editor-wysiwyg.spec.ts,1,0,13,13,1,12,0,0,mostly-skipped,31692620907/webpet,"The WYSIWYG report editor's acceptance journey: preview selection, area drill-in, column reorder, zoom, orientation and PDF preview.","Editing a report layout is not running a report — no parameters, no screen/printer/file/Excel output. Nearly the whole file skips on dev for want of the seeded report.","Seed the report fixture on dev, then automate run-with-parameters and export."
